Date,GRA Purchases,PRGT 1/2/,Totals,Year,Y Axis (B),WorldGDP (B),GDP adj %
08/31/2022,93769635059,15254184552,1.09024E+11,2022,10.90238196,,
12/31/2021,89474552025,14554823681,1.04029E+11,2021,10.40293757,96292.574,0.010803468
12/31/2020,93408630285,12481816684,1.0589E+11,2020,10.5890447,85238.623,0.012422825
12/31/2019,66945509865,6590835450,73536345315,2019,7.353634532,87536.338,0.008400665
12/31/2018,55395611392,6426181029,61821792421,2018,6.182179242,86084.955,0.007181486
12/31/2017,39585385873,6522280669,46107666542,2017,4.610766654,80945.405,0.005696144
12/31/2016,49267630851,6482647937,55750278788,2016,5.575027879,76267.375,0.007309846
12/31/2015,50757840741,6575911158,57333751899,2015,5.73337519,75042.63,0.007640158
12/31/2014,69041563463,6292755583,75334319046,2014,7.533431905,79321.72,0.009497313
12/31/2013,83899249061,6174392682,90073641743,2013,9.007364174,77290.82,0.01165386
12/31/2012,90042348252,5766292503,95808640755,2012,9.580864076,75116.959,0.012754595
12/31/2011,87276915790,5308609594,92585525384,2011,9.258552538,73747.749,0.012554353
12/31/2010,55620104510,4819344134,60439448644,2010,6.043944864,66435.818,0.009097419
12/31/2009,37221142436,5079705286,42300847722,2009,4.230084772,60731.151,0.006965264
12/31/2008,17514964723,3972372030,21487336753,2008,2.148733675,64108.44,0.003351717
12/31/2007,6036146757,3796945581,9833092338,2007,0.983309234,58443.072,0.001682508
12/31/2006,9822640239,3844020520,13666660759,2006,1.366666076,51762.962,0.002640239
12/31/2005,28432143237,6282121668,34714264905,2005,3.471426491,47792.249,0.007263576
12/31/2004,55373766674,6766029353,62139796027,2004,6.213979603,44116.922,0.014085252
12/31/2003,65032062712,6880893268,71912955980,2003,7.191295598,39193.343,0.018348258
12/31/2002,63601058794,6868671012,70469729806,2002,7.046972981,34900.086,0.02019185
12/31/2001,53477225409,6424578684,59901804093,2001,5.990180409,33788.307,0.01772856
12/31/2000,42990531049,6331595468,49322126517,2000,4.932212652,34039.874,0.014489515
12/31/1999,51061861875,6434274362,57496136237,1999,5.749613624,32949.687,0.017449676
12/31/1998,60451017051,6288825925,66739842976,1998,6.673984298,31824.447,0.02097125
12/31/1997,46559033783,6009867422,52568901205,1997,5.256890121,31979.647,0.016438237
12/31/1996,36127472805,5881609752,42009082557,1996,4.200908256,32068.872,0.013099645
12/31/1995,35929173412,5657438528,41586611940,1995,4.158661194,31199.71,0.013329166
12/31/1994,25611676952,4599768498,30211445450,1994,3.021144545,27985.29,0.010795473
12/31/1993,25196745031,3942792899,29139537930,1993,2.913953793,26039.542,0.011190496
12/31/1992,23967172718,3804463796,27771636514,1992,2.777163651,25328.261,0.010964683
12/31/1991,23378573926,3285717796,26664291722,1991,2.666429172,24492.481,0.010886725
12/31/1990,20731851093,2571911617,23303762710,1990,2.330376271,23654.018,0.009851926
12/31/1989,22315104224,2334886562,24649990786,1989,2.464999079,20122.142,0.012250182
12/31/1988,24750004884,1773964293,26523969177,1988,2.652396918,19125.335,0.013868499
12/31/1987,28751979125,1866342930,30618322055,1987,3.061832206,17008.945,0.018001306
12/31/1986,33334905644,2013169931,35348075575,1986,3.534807558,14771.979,0.02392914
12/31/1985,35194787249,2470247948,37665035197,1985,3.76650352,12523.328,0.030075899
12/31/1984,34936772393,2769874900,37706647293,1984,3.770664729,11997.41,0.031428989
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,
,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,